heart rate,time
33208,0
33336,12
34584,24
34312,36
34568,48
35096,60
34168,72
34264,83
33928,95
33624,107
33352,119
32055,131
32487,143
32519,155
30919,167
32311,178
38761,190
44506,202
40841,214
32567,226
30423,238
32023,250
31367,261
31127,273
32071,285
31639,297
31639,309
31431,321
31543,333
32824,345
32151,356
32007,368
32776,380
32071,392
32599,404
32952,416
32567,428
32423,440
33032,451
32952,463
33688,475
33800,487
33512,499
33496,511
33384,523
33480,535
32936,546
33848,558
33064,570
32743,582
33800,594
33576,606
33448,618
33608,630
33256,641
33416,653
33512,665
33672,677
33704,689
33224,701
34520,713
33896,725
34712,737
33864,748
34536,760
34008,772
33848,784
34264,796
33736,808
33320,820
32792,831
33560,843
32663,855
30679,867
33048,879
38105,891
44618,903
42442,915
35368,927
31207,938
32103,950
32087,962
31895,974
31895,986
32151,998
32583,1010
32567,1022
32327,1033
33032,1045
32551,1057
32776,1069
32840,1081
33000,1093
32695,1105
33864,1117
33160,1129
32840,1140
33720,1152
33800,1164
33816,1176
33992,1188
34088,1200
34600,1212
33416,1223
33848,1235
33560,1247
33544,1259
34008,1271
34232,1283
33720,1295
34600,1307
33880,1319
33880,1330
34200,1342
34072,1354
34152,1366
33608,1378
33880,1390
34648,1402
33624,1413
34056,1425
34568,1437
35160,1449
35256,1461
34824,1473
34104,1485
34152,1497
35048,1508
33624,1520
33624,1532
33464,1544
32968,1556
33144,1568
32247,1580
32920,1592
36696,1603
45371,1615
43626,1627
37993,1639
31463,1651
31831,1663
32455,1675
31943,1687
32695,1698
32295,1710
32423,1722
32327,1734
32327,1746
32535,1758
33224,1770
32439,1782
32711,1793
33592,1805
33480,1817
33256,1829
32727,1841
33576,1853
33752,1865
33432,1877
33880,1888
34120,1900
34456,1912
33352,1924
33608,1936
33720,1948
33288,1960
33656,1972
33288,1983
33304,1995
34072,2007
33624,2019
33736,2031
33176,2043
33896,2055
33848,2067
33976,2079
33480,2090
33368,2102
33560,2114
33688,2126
33336,2138
34264,2150
34232,2162
35160,2173
34936,2185
33464,2197
34360,2209
33672,2221
34200,2233
33736,2245
32904,2256
33304,2268
33176,2280
32391,2292
32824,2304
35032,2316
44442,2328
43610,2340
38329,2351
30775,2363
31655,2375
31815,2387
31847,2399
32119,2411
32279,2423
31447,2435
32327,2446
31927,2458
32599,2470
32199,2482
32519,2494
33336,2506
31911,2518
32727,2530
32936,2541
33320,2553
33320,2565
33864,2577
33864,2589
33544,2601
33432,2613
34216,2625
34008,2636
32904,2648
34024,2660
33688,2672
33208,2684
33208,2696
33368,2708
33672,2719
33368,2731
33608,2743
34184,2755
32968,2767
33864,2779
33784,2791
33000,2803
33560,2815
33480,2826
33208,2838
33896,2850
33960,2862
33992,2874
35000,2886
34776,2898
33848,2910
34232,2921
33768,2933
34184,2945
32872,2957
33000,2969
32695,2981
32599,2993
31367,3004
32808,3016
35336,3028
44218,3040
41818,3052
37145,3064
30263,3076
30919,3088
31943,3099
32327,3111
31559,3123
31767,3135
32167,3147
32599,3159
32071,3171
32343,3183
32647,3195
32711,3206
33256,3218
32984,3230
32423,3242
32647,3254
33160,3266
32920,3278
33176,3290
33496,3302
34056,3313
33688,3325
33112,3337
33352,3349
33688,3361
33704,3373
33304,3385
33240,3396
34088,3408
33496,3420
