heart rate,time
42778,0
33944,12
24149,24
23573,36
33832,48
22853,60
32007,71
26966,83
26358,95
33064,107
23509,119
33464,131
26694,143
28150,155
33448,166
24598,178
34952,190
27110,202
30359,214
33576,226
26454,238
37145,250
27862,261
32663,273
33288,285
26390,297
35848,309
25734,321
32263,333
31623,345
26950,356
36232,368
26118,380
34136,392
31207,404
28839,416
36696,428
26726,440
35848,451
31127,463
30279,475
37017,487
27302,499
37129,511
30855,523
31927,535
37049,546
28166,558
38361,570
30423,582
33720,594
36889,606
29111,618
39321,629
29959,641
35256,653
36328,665
30103,677
40041,689
29783,701
36632,713
35880,725
31559,736
41162,748
31815,760
39641,772
36648,784
33192,796
40857,808
30071,819
38921,831
33640,843
33608,855
39817,867
30343,879
40377,891
33560,903
35256,914
38681,926
30743,938
53357,950
48875,962
35016,974
34872,986
29879,998
40265,1010
30567,1021
35608,1033
36648,1045
30215,1057
40089,1069
30039,1081
37065,1093
35800,1105
31239,1116
40233,1128
29879,1140
38185,1152
35000,1164
33352,1176
41210,1188
31255,1199
40953,1211
35720,1223
35080,1235
40473,1247
30199,1259
39865,1271
32583,1283
34280,1295
38553,1306
29975,1318
40249,1330
32295,1342
35512,1354
38745,1366
30935,1378
41258,1390
32055,1401
37065,1413
38201,1425
31719,1437
41386,1449
31655,1461
38345,1473
37305,1485
32407,1497
41450,1508
31287,1520
39337,1532
36360,1544
33848,1556
41434,1568
31527,1580
40793,1592
35816,1603
35144,1615
41514,1627
31687,1639
41290,1651
35112,1663
36120,1675
41882,1687
33000,1698
43210,1710
35224,1722
37209,1734
40025,1746
31319,1758
40761,1770
31479,1782
36552,1793
37609,1805
31127,1817
41034,1829
30999,1841
37577,1853
36024,1865
31047,1877
47755,1888
50188,1900
41450,1912
31063,1924
30247,1936
39993,1948
28903,1960
38473,1972
33320,1983
32327,1995
38745,2007
29063,2019
38937,2031
32423,2043
33576,2055
38569,2067
29447,2079
39897,2090
31671,2102
34856,2114
37929,2126
30151,2138
40761,2150
31879,2162
36696,2173
36969,2185
29479,2197
38825,2209
28550,2221
34888,2233
33992,2245
29271,2257
38377,2268
27686,2280
35784,2292
32583,2304
29975,2316
37849,2328
27622,2340
36648,2352
31543,2364
30935,2375
37481,2387
27574,2399
37225,2411
30631,2423
31703,2435
36664,2447
27398,2459
37961,2470
29495,2482
32856,2494
35896,2506
28102,2518
38409,2530
29031,2542
34344,2553
35176,2565
28679,2577
38569,2589
28502,2601
35080,2613
34328,2625
29383,2637
38697,2649
28390,2661
36808,2672
34536,2684
31447,2696
40265,2708
28935,2720
37257,2732
32904,2744
30695,2756
37657,2768
27334,2779
36953,2791
30903,2803
31447,2815
37113,2827
27926,2839
37673,2851
29495,2862
36840,2874
55917,2886
33768,2898
33960,2910
26822,2922
33640,2934
35080,2946
28102,2958
38361,2969
28502,2981
34696,2993
34472,3005
29367,3017
38809,3029
28134,3041
36152,3052
33816,3064
30503,3076
38985,3088
28470,3100
37801,3112
33160,3124
32263,3135
39641,3147
29175,3159
38841,3171
31687,3183
32023,3195
36840,3207
27670,3219
38153,3230
29767,3242
32872,3254
36072,3266
28102,3278
38473,3290
29031,3302
34088,3313
35224,3325
28839,3337
38665,3349
28630,3361
35352,3373
33944,3385
29191,3397
38553,3408
27734,3420
36104,3432
32567,3444
29863,3456
37833,3468
27430,3480
36905,3491
31543,3503
30791,3515
37401,3527
27238,3539
37529,3551
30855,3563
32535,3575
38201,3586
28871,3598
39241,3610
29815,3622
33336,3634
35528,3646
27174,3658
37737,3670
28118,3681
33800,3693
34520,3705
28294,3717
38217,3729
27750,3741
34120,3753
34456,3765
43994,3776
51100,3788
24806,3800
32311,3812
32135,3824
29623,3836
37321,3848
27190,3860
36280,3872
31399,3883
30679,3895
37801,3907
27574,3919
37801,3931
31367,3943
32151,3955
37609,3967
28166,3979
38617,3990
31015,4002
33944,4014
37993,4026
29751,4038
40201,4050
30391,4062
34456,4074
35368,4085
28102,4097
37817,4109
27926,4121
34280,4133
33864,4145
28630,4157
37993,4169
27654,4180
35336,4192
33096,4204
29495,4216
38297,4228
27606,4240
36744,4252
32071,4264
30663,4275
37705,4287
27446,4299
37001,4311
30951,4323
31463,4335
37065,4347
27542,4359
37977,4370
30279,4382
32567,4394
36584,4406
27942,4418
38601,4430
29895,4442
33864,4454
35688,4466
28775,4477
38953,4489
29207,4501
35128,4513
35432,4525
29495,4537
39769,4549
