heart rate,time
32167,0
33192,11
34200,22
34952,33
35400,44
35784,54
35624,65
34584,76
33192,86
32071,97
30743,108
31063,118
30279,129
30455,140
30791,151
41962,161
56349,172
40745,183
8177,193
20597,204
29527,215
29351,225
29991,236
29607,247
29847,258
30087,268
30919,279
30775,290
31431,300
31927,311
32391,322
32327,332
32663,343
33368,354
33256,365
34376,375
33704,386
34712,397
34776,407
34472,418
33000,429
32776,439
32808,450
31831,461
31415,472
32055,482
32359,493
31623,504
32423,514
32263,525
32663,536
32263,546
32231,557
32343,568
31639,579
31431,589
32007,600
31543,611
31815,621
31639,632
32663,643
33512,653
33496,664
33928,675
34568,685
34776,696
33640,707
33480,718
31255,728
30519,739
29671,750
29703,760
29527,771
28871,782
38873,792
53533,803
46459,814
8177,824
17924,835
28150,846
28887,857
28118,867
28743,878
28374,889
29127,899
29623,910
29351,921
30295,931
30999,942
31095,953
31799,964
33352,974
33736,985
34184,996
33672,1006
34456,1017
34024,1028
34600,1038
33240,1049
32647,1060
32135,1071
30775,1081
30855,1092
30647,1103
31367,1113
30567,1124
31543,1135
31879,1145
31623,1156
31975,1167
32423,1178
31319,1188
31495,1199
31815,1210
30743,1220
30823,1231
31111,1242
31399,1252
30791,1263
31255,1274
31687,1284
32487,1295
32599,1306
33512,1317
34072,1327
34488,1338
33176,1349
32167,1359
31159,1370
29383,1381
28759,1391
29495,1402
29447,1413
28070,1424
33608,1434
49356,1445
52876,1456
12931,1466
12979,1477
26422,1488
29095,1498
28102,1509
29079,1520
28871,1531
28470,1541
28711,1552
29655,1563
30279,1573
30199,1584
30215,1595
30519,1605
32583,1616
32792,1627
33288,1638
33240,1648
33768,1659
33576,1670
33176,1680
33864,1691
33432,1702
32167,1712
31975,1723
31447,1734
30807,1744
31383,1755
31415,1766
31991,1776
31159,1787
31255,1798
31463,1809
31271,1819
30935,1830
30903,1841
31751,1851
30919,1862
31207,1873
31047,1883
31063,1894
30391,1905
31095,1916
30343,1926
30375,1937
30551,1948
31687,1958
32231,1969
33080,1980
32808,1990
33960,2001
33752,2012
31911,2023
31607,2033
29655,2044
27910,2055
28198,2065
29239,2076
28054,2087
28166,2097
40281,2108
55101,2119
39641,2130
6561,2140
18532,2151
26646,2162
27158,2172
26582,2183
26774,2194
26966,2204
27318,2215
27206,2226
28679,2237
28422,2247
29207,2258
30743,2269
31015,2279
31399,2290
31655,2301
33128,2311
33288,2322
32952,2333
33176,2343
33384,2354
33208,2365
32856,2376
31783,2386
31319,2397
30535,2408
30439,2418
30279,2429
30247,2440
31191,2450
30791,2461
30263,2472
29991,2483
30263,2493
30039,2504
29703,2515
29607,2525
29735,2536
29063,2547
29719,2557
28518,2568
29495,2579
29895,2589
29415,2600
29911,2611
31207,2622
31783,2632
32183,2643
32647,2654
33320,2664
31575,2675
30727,2686
30535,2696
28711,2707
27782,2718
27606,2729
28390,2739
27830,2750
29511,2761
45547,2771
56557,2782
26134,2793
5569,2803
22805,2814
27798,2825
27910,2835
28166,2846
28695,2857
29111,2868
29511,2878
28695,2889
28743,2900
28999,2910
29975,2921
30871,2932
31367,2942
31655,2953
32695,2964
33336,2975
33352,2985
34072,2996
33688,3007
34104,3017
33480,3028
33464,3039
33064,3049
32071,3060
31399,3071
31703,3081
32327,3092
32087,3103
32455,3114
32215,3124
33512,3135
32551,3146
32583,3156
32904,3167
32151,3178
32279,3188
31447,3199
31463,3210
31223,3221
31111,3231
30663,3242
31399,3253
31511,3263
32247,3274
33624,3285
34056,3295
34232,3306
34664,3317
33832,3328
33544,3338
32007,3349
30791,3360
29623,3370
29543,3381
29975,3392
29143,3402
32263,3413
48459,3424
57053,3434
23829,3445
9186,3456
24533,3467
29655,3477
